TransactionAmount,CountryRiskScore,TransactionsPerDay,AccountAgeMonths,CrossBorderFlag,SanctionFlag,PEPFlag,DeviceChangeFlag,Is_Laundering
27237.34,2,7,50,1,0,0,0,0
9950.58,2,8,41,0,0,0,0,0
27994.34,1,14,119,0,0,0,1,0
20731.69,4,11,99,0,0,0,0,0
27077.92,5,10,84,1,0,0,0,0
35710.08,1,8,101,0,0,0,0,0
6988.05,4,9,116,0,0,0,0,0
4471.15,3,17,97,0,0,0,0,0
3262.58,3,11,19,1,0,1,0,0
14064.85,4,15,93,0,0,0,1,0
12341.31,5,14,21,0,0,0,0,0
82635.86,1,8,29,1,0,0,1,0
5070.79,4,13,52,0,0,0,1,0
9112.45,1,4,110,0,0,0,0,0
5235.07,5,10,100,1,0,0,0,0
6383.12,5,11,2,0,0,0,0,0
5996.21,3,10,30,0,0,0,1,0
5743.0,4,15,56,0,0,0,0,0
2265.45,4,12,39,1,0,0,1,0
6463.69,4,17,94,0,0,0,0,1
39591.01,3,10,69,1,0,1,0,1
8965.86,4,8,51,1,0,0,0,0
156785.93,3,11,80,0,0,0,1,0
27637.11,2,14,56,0,0,0,0,0
969.81,5,15,14,0,0,0,0,0
13454.52,3,16,89,0,0,0,0,0
29426.5,3,8,27,0,0,0,0,0
39283.8,4,15,22,0,0,0,0,1
92840.48,2,15,71,0,0,0,1,0
4407.24,2,12,9,0,0,0,1,0
620.09,5,11,36,0,0,0,0,0
13609.28,2,10,65,0,0,1,0,0
15794.15,1,11,75,0,0,0,0,0
16160.31,5,11,41,0,0,0,1,0
2122.06,5,9,72,0,0,0,0,0
59166.26,3,12,83,0,0,0,0,0
3149.78,1,8,22,0,0,0,0,0
27817.29,3,12,89,0,0,0,0,0
18030.7,2,7,60,1,0,0,1,0
27185.35,1,16,105,0,0,0,0,0
29452.01,2,10,89,0,0,0,1,0
116196.25,2,14,20,0,0,0,0,0
11505.22,4,11,92,0,0,0,0,0
5211.67,4,10,28,0,0,0,0,0
7654.74,4,15,32,0,0,0,1,0
33693.22,4,8,108,0,0,0,0,0
35947.84,4,12,88,0,0,0,0,0
10563.51,4,11,21,1,0,0,0,0
30694.87,3,11,55,0,0,0,1,0
6197.7,1,16,71,0,0,0,0,0
23085.61,1,9,56,1,1,0,0,1
19646.76,3,8,14,0,0,0,0,0
2356.09,4,11,34,1,0,0,0,0
7045.74,1,12,33,0,0,1,0,0
6840.38,3,12,19,0,0,0,1,0
27349.43,3,10,77,0,0,0,0,0
3589.05,4,10,66,0,0,0,0,0
53735.79,4,11,23,0,0,0,0,1
2143.54,2,11,44,0,0,0,0,0
10601.46,4,9,43,0,0,0,1,0
29103.38,3,11,31,0,0,0,0,0
15507.48,1,11,9,0,0,0,1,0
16744.27,4,13,79,1,0,1,0,1
18991.16,4,6,30,0,0,0,0,0
9995.87,5,17,45,1,0,0,0,1
7771.78,3,11,1,0,0,0,0,0
22958.53,1,12,52,0,0,0,0,0
7326.96,2,12,118,0,0,0,0,0
43894.26,3,15,95,0,0,0,0,0
2761.68,1,12,119,0,0,0,0,0
13900.38,1,9,7,0,0,0,0,0
4038.0,1,9,9,0,0,0,1,0
5702.36,2,12,90,0,0,0,0,0
4098.46,2,11,24,0,0,0,0,0
10016.72,5,11,110,0,0,0,0,0
6821.95,4,12,95,0,0,0,0,0
42640.14,4,10,101,0,0,0,0,1
15679.94,2,11,24,0,0,0,0,0
22968.92,2,14,61,0,0,0,0,0
32958.93,5,14,86,1,0,0,0,0
5778.62,5,14,14,1,0,0,0,0
9604.66,1,13,13,0,0,0,0,0
49015.8,1,6,76,0,0,0,0,0
5547.71,4,7,95,0,0,0,0,0
16355.14,2,6,95,0,0,0,0,0
991.83,5,13,57,0,0,0,0,0
15536.97,4,10,102,0,0,0,0,0
81772.18,4,9,56,0,0,0,0,1
18666.23,1,12,7,0,0,0,0,0
30567.57,1,9,69,0,0,0,0,0
76519.97,3,12,29,0,0,0,0,0
4260.18,3,12,48,0,0,0,0,0
35848.16,5,14,9,0,0,0,0,0
1651.27,5,16,32,0,0,0,0,1
50032.1,1,12,81,0,0,0,0,0
3114.55,5,16,5,0,0,0,0,1
22756.14,2,15,5,0,0,0,0,0
16364.43,1,10,109,1,0,0,0,0
3136.26,1,13,92,0,0,1,1,0
6785.17,4,8,58,0,0,0,0,0
9902.76,4,12,87,0,0,0,1,0
24358.07,1,15,4,1,0,0,1,0
9171.94,3,9,14,0,0,0,0,0
72658.48,5,11,90,0,0,0,0,1
5838.31,4,8,50,0,0,0,0,0
33782.29,4,7,25,0,0,0,0,0
2567.76,4,7,72,1,0,0,0,0
23993.4,4,13,12,0,0,0,0,0
5347.67,5,13,54,0,0,0,0,0
15165.37,3,13,19,1,0,0,0,0
52989.94,2,20,90,0,0,0,0,1
29333.65,4,13,41,0,0,0,0,0
37040.3,2,7,28,0,0,0,0,0
23950.9,4,7,58,0,0,0,0,0
43009.02,1,5,31,1,0,0,0,0
25376.13,1,14,117,0,0,0,0,0
13884.56,3,9,89,0,0,0,0,0
108731.08,3,9,83,1,0,0,1,0
8756.32,3,14,58,1,0,0,0,0
26920.18,4,12,48,0,0,0,0,0
58157.12,2,16,70,0,0,0,0,1
3022.07,4,11,18,0,0,0,0,0
7186.85,2,11,69,0,0,0,0,0
13500.59,2,9,10,0,0,0,0,0
41876.12,3,15,96,0,0,0,0,0
6054.79,5,17,66,0,0,0,0,1
14198.27,2,5,77,0,0,0,0,0
68558.96,5,14,51,0,0,0,0,1
40370.94,5,10,1,0,0,0,1,1
163628.9,4,8,77,0,0,0,0,1
4176.54,5,12,43,0,0,0,0,0
33501.25,4,12,82,0,0,0,1,0
57601.68,1,8,61,0,0,0,0,0
18673.08,2,15,57,1,0,0,0,0
14128.31,5,16,77,0,0,0,0,1
9000.54,4,8,1,0,0,0,0,0
21703.13,5,13,19,0,0,0,0,0
1876.44,4,8,12,0,0,0,0,0
42132.16,2,15,51,1,0,0,0,0
4280.64,2,11,73,1,0,0,0,0
27406.32,4,13,86,0,0,0,0,0
92298.51,1,4,24,0,0,0,0,0
7655.32,1,6,2,1,1,0,0,1
19418.77,5,9,106,0,0,0,0,0
1260.69,3,12,78,0,0,0,0,0
39462.18,1,20,58,0,0,0,0,1
5158.75,3,7,30,0,0,0,0,0
13856.7,1,14,115,0,0,0,0,0
2423.31,4,10,45,0,0,0,0,0
21031.45,4,9,78,0,0,0,0,0
18759.96,3,14,19,0,0,0,0,0
8307.85,4,14,31,0,0,0,0,0
6391.94,5,13,64,0,0,0,1,0
59454.7,4,9,66,0,0,0,0,1
14408.96,4,14,94,0,0,0,0,0
2935.08,5,11,41,0,0,0,0,0
14069.59,5,9,117,1,0,0,0,0
6027.36,5,10,83,0,1,0,0,1
1328.51,3,10,16,0,0,0,1,0
5485.16,3,14,63,0,0,0,0,0
33561.66,1,15,87,1,0,0,0,0
8413.08,2,10,16,0,0,0,0,0
3313.39,4,14,80,1,0,0,1,0
9617.99,3,9,86,1,0,0,0,0
23195.13,3,9,46,0,0,0,0,0
9641.39,5,13,21,0,0,0,0,0
73981.85,5,11,61,0,0,0,0,1
26441.66,1,10,65,0,0,0,1,0
20581.27,4,9,54,0,0,0,0,0
15391.8,4,14,89,1,0,0,0,0
2276.27,2,16,80,0,0,0,1,0
9304.28,2,15,106,0,0,0,0,0
19569.91,2,12,92,0,0,0,0,0
86040.89,1,13,29,0,1,0,1,1
10469.9,5,10,72,0,0,0,0,0
45547.76,2,11,14,0,0,1,0,0
16233.65,2,9,106,1,0,0,0,0
10834.94,4,13,48,0,0,0,0,0
4017.45,5,12,60,0,0,0,1,0
7986.0,3,7,82,0,0,0,0,0
95134.14,3,13,65,0,0,0,0,0
5530.84,5,6,52,0,0,1,0,0
6994.44,4,11,77,0,0,0,0,0
3199.53,4,16,20,0,0,0,0,1
24908.98,2,14,31,0,0,0,0,0
1287.51,1,8,119,0,0,0,1,0
54837.34,4,8,100,0,0,0,0,1
11512.97,5,13,77,0,0,0,0,0
22415.81,5,13,85,1,0,0,0,0
2278.35,5,16,109,0,0,0,0,1
8693.41,2,12,68,0,0,0,0,0
47566.75,2,7,21,0,0,0,0,0
23298.72,1,8,20,0,0,0,0,0
8979.74,5,11,38,0,0,0,0,0
5893.35,3,13,44,0,0,0,0,0
7402.33,4,7,69,0,0,0,0,0
10503.07,3,7,30,0,0,0,1,0
20625.31,4,14,99,0,0,0,1,0
256355.36,3,12,20,0,0,0,0,0
24036.75,1,17,57,0,0,0,0,0
28936.15,2,12,103,0,0,0,0,0
34346.46,2,9,114,0,0,0,0,0
2281.32,3,17,83,0,1,0,0,1
20659.24,3,12,32,0,0,0,0,0
6735.62,2,14,11,1,1,0,0,1
4572.75,2,18,106,1,0,0,0,0
23438.05,3,11,84,1,0,0,0,0
11250.34,5,10,32,0,0,0,0,0
50653.03,4,13,38,0,0,0,0,1
10516.79,2,9,27,0,0,0,0,0
59176.49,3,12,6,1,0,0,0,0
11097.64,5,11,79,0,0,0,0,0
6887.29,5,8,39,0,0,0,0,0
11034.58,5,8,90,0,0,0,0,0
13905.59,5,14,53,0,0,0,0,0
12524.28,4,8,19,1,0,0,0,0
5319.23,1,9,118,0,0,0,0,0
3253.6,5,13,82,0,0,0,0,0
57127.5,3,12,84,1,0,0,0,0
8685.45,2,12,94,0,0,0,0,0
7688.47,1,14,20,1,0,0,0,0
18581.01,2,10,10,0,0,0,1,0
46661.13,2,13,78,0,0,0,0,0
5001.57,4,8,8,0,0,0,1,0
2336.91,3,14,6,0,0,0,0,0
27557.03,1,14,33,0,0,0,0,0
740.51,5,17,58,0,0,0,0,1
5314.34,4,10,32,1,0,0,0,0
17034.87,2,13,38,0,0,0,0,0
20905.27,4,7,89,0,0,0,0,0
30006.67,2,10,118,1,0,0,0,0
12338.24,2,14,102,0,0,0,0,0
13429.99,3,8,56,0,0,0,0,0
1400.59,3,16,94,0,0,0,0,0
45537.99,4,12,46,0,0,0,0,1
11441.6,5,7,115,0,0,0,0,0
8797.14,4,9,10,0,0,1,0,0
34479.45,1,12,91,0,0,0,0,0
13636.47,2,6,5,0,0,0,0,0
12870.38,1,15,85,1,1,0,0,1
3589.76,2,10,52,0,0,0,1,0
3584.35,3,14,60,0,0,0,0,0
3377.09,5,10,113,0,0,0,0,0
15669.24,4,16,111,0,0,0,1,1
27080.68,4,8,19,0,0,0,0,0
30040.72,4,12,114,0,0,0,1,0
11654.21,5,11,112,0,0,0,1,0
1277.46,2,15,107,0,0,0,0,0
14100.25,5,15,8,0,0,0,0,0
19388.62,2,11,41,0,0,0,0,0
12696.77,2,11,110,0,0,0,0,0
