TransactionAmount,CountryRiskScore,TransactionsPerDay,AccountAgeMonths,CrossBorderFlag,SanctionFlag,PEPFlag,DeviceChangeFlag,Is_Laundering
2062.13,2,4,51,1,0,0,0,0
10914.82,3,4,105,0,0,0,0,0
6163.39,2,5,48,0,0,0,0,0
1472.86,2,3,66,0,0,0,1,0
3093.69,2,6,90,0,0,0,0,0
18419.21,1,5,80,0,0,0,0,0
705.32,3,2,71,0,0,0,0,0
3487.25,1,5,81,0,0,0,0,0
13531.14,1,8,12,0,0,0,0,0
2456.78,3,2,29,0,0,0,0,0
2855.18,2,5,116,0,0,0,0,0
4556.15,4,3,4,0,0,0,0,0
16205.59,1,2,50,0,0,0,0,0
2947.99,2,4,58,0,0,0,0,0
3445.47,3,5,11,0,0,0,0,0
3472.11,2,3,26,0,0,0,0,0
28702.63,3,7,70,0,0,0,0,0
28266.39,1,7,9,1,0,0,0,0
10973.55,3,4,38,0,0,0,0,0
6693.88,1,6,67,0,0,0,0,0
8865.25,2,6,30,0,0,0,0,0
16197.07,2,8,84,0,0,0,0,0
2324.67,1,6,51,0,0,0,1,0
12590.06,1,5,93,0,0,0,0,0
1802.44,5,2,37,0,0,0,0,0
2950.7,4,2,25,0,0,0,0,0
10154.62,1,5,114,0,0,0,1,0
1567.22,2,3,51,0,0,0,0,0
4393.78,3,2,27,0,0,0,1,0
2466.6,3,3,69,0,0,0,0,0
4005.82,5,2,41,0,0,0,0,0
523.81,1,6,81,1,0,0,0,0
1191.27,3,7,117,1,0,0,1,0
2807.64,2,4,49,0,0,0,0,0
10321.35,3,8,48,1,0,0,0,0
4277.36,2,5,60,1,0,0,1,0
4925.97,1,4,106,0,0,0,1,0
8523.46,1,2,112,1,0,0,0,0
2431.76,2,6,47,0,0,0,0,0
6166.59,3,3,38,0,0,0,0,0
2580.42,3,5,104,0,0,0,0,0
1233.81,2,7,42,0,0,0,1,0
3594.93,1,2,41,0,0,0,0,0
7777.92,1,3,2,0,0,0,0,0
6443.78,1,5,78,1,0,0,0,0
4868.47,3,6,31,0,0,0,0,0
33319.3,1,2,95,0,0,0,0,0
6838.54,2,3,69,0,0,0,0,0
10753.52,4,4,112,1,0,0,0,0
29451.93,1,5,21,0,0,0,0,0
1745.39,2,2,35,0,0,0,0,0
2140.87,5,7,93,0,0,0,0,0
19830.37,1,7,77,0,0,0,1,0
2595.54,3,5,119,0,0,0,0,0
5032.87,1,4,107,0,0,0,0,0
11561.7,5,3,69,0,0,0,0,1
10022.27,1,5,16,1,0,0,0,0
20008.43,1,7,16,1,0,0,0,0
16260.84,2,12,79,0,0,0,0,1
11562.4,1,12,44,0,0,0,0,1
2648.72,3,4,6,0,0,0,0,0
9282.54,4,1,108,0,0,0,0,0
6319.64,1,5,14,0,0,0,0,0
1701.03,4,9,9,0,0,0,0,1
15272.96,2,4,30,0,0,0,0,0
9374.88,3,7,13,0,0,0,0,0
5096.92,2,7,11,0,0,0,0,0
4078.67,2,1,45,1,1,0,0,1
1884.39,1,8,55,0,0,0,0,0
5765.34,3,3,31,0,0,0,0,0
7149.17,3,7,92,0,1,0,0,0
2527.73,3,5,37,0,0,0,0,0
12453.58,2,8,88,0,0,0,0,0
2043.13,1,7,95,0,0,0,0,0
899.21,2,7,72,1,0,0,0,0
11291.23,3,4,90,0,0,0,1,0
3559.26,3,5,7,0,0,0,0,0
4443.41,1,4,69,1,0,0,0,0
2514.9,2,2,9,0,0,0,0,0
1359.99,4,2,109,1,0,0,0,0
13415.82,1,4,80,0,0,0,0,0
2832.47,1,6,115,1,0,1,0,0
18559.96,1,4,67,0,1,0,0,1
9375.42,2,3,69,0,0,0,0,0
3820.72,5,4,86,0,0,0,0,0
2061.68,3,8,39,0,0,0,0,0
2735.39,1,5,48,0,0,0,0,0
1863.07,3,5,30,0,0,0,0,0
26100.0,1,4,8,0,0,0,0,0
5605.78,4,3,52,0,0,0,0,0
12334.61,3,6,74,0,0,0,0,0
1783.12,3,4,53,0,0,0,0,0
5680.69,3,3,113,0,0,0,0,0
12610.56,1,6,40,0,0,0,1,0
3759.31,2,7,24,0,1,0,0,0
11213.7,1,6,17,1,0,0,0,0
2063.89,1,4,80,0,0,0,0,0
1651.14,2,4,29,1,0,0,0,0
6657.64,3,8,23,0,0,0,0,0
3628.81,3,7,13,0,0,0,0,0
8214.4,1,5,6,0,0,1,1,0
1009.98,3,2,88,1,0,0,0,0
8688.99,1,7,43,1,0,0,0,0
39286.77,2,4,62,0,0,0,0,0
4818.89,4,5,82,0,0,0,0,0
5050.86,3,5,6,1,0,0,0,0
5673.94,1,2,21,0,0,0,0,0
1108.12,1,5,9,0,0,0,0,0
6911.33,3,2,39,0,0,0,0,0
1360.59,2,4,116,0,0,0,0,0
3490.7,3,1,89,1,0,0,0,0
13283.74,3,7,84,0,0,0,0,0
2729.37,1,6,113,0,0,0,0,0
7339.3,1,3,98,0,0,0,0,0
11050.06,5,5,88,0,0,0,0,0
6142.53,1,6,65,1,0,0,0,0
1641.3,2,5,6,0,0,0,0,0
3766.95,4,2,64,0,0,0,0,0
23565.26,2,7,58,0,0,0,0,0
972.59,1,5,15,0,0,0,0,0
3941.72,3,5,102,0,0,0,0,0
3159.96,1,4,86,1,0,0,0,0
5413.21,2,9,19,0,0,0,0,0
8942.52,2,6,94,1,0,0,0,0
17799.98,4,4,56,0,0,0,0,1
3959.27,2,3,68,0,0,0,1,0
9413.25,1,8,40,0,0,0,0,0
7330.45,3,9,115,0,1,0,0,1
7183.04,3,2,63,0,0,0,0,0
3130.23,1,2,81,0,0,0,0,0
2213.09,1,8,35,0,0,0,0,0
2038.49,2,6,68,0,0,0,0,0
2683.43,3,4,85,0,0,0,0,0
6357.24,2,8,76,1,0,0,0,0
9034.08,1,6,119,0,0,0,0,0
6366.31,3,5,102,0,0,0,0,0
3167.94,1,4,79,0,0,0,0,0
20843.06,1,7,60,0,0,0,0,0
16565.75,2,3,5,0,0,0,0,0
3702.63,2,3,62,0,0,0,0,0
2543.39,2,6,49,0,0,0,0,0
5454.37,1,8,25,0,0,0,1,0
13545.9,1,5,68,1,0,1,0,1
6413.83,2,3,64,1,0,0,0,0
7671.28,1,4,66,0,1,0,0,0
4147.81,3,3,114,1,0,0,0,0
7079.91,1,4,31,0,0,0,1,0
16909.58,1,4,115,0,0,0,0,0
4057.27,4,6,23,0,0,0,0,0
5511.8,3,6,64,0,0,0,0,0
6021.27,2,6,63,0,0,0,1,0
6167.08,2,6,27,0,0,0,0,0
1588.41,2,2,66,0,0,0,1,0
1094.99,2,2,20,0,1,0,0,0
2173.9,2,7,70,0,1,0,1,0
5621.5,1,2,86,0,0,0,1,0
7654.78,2,1,45,1,0,0,0,0
3214.61,2,5,119,0,0,0,0,0
14791.47,2,3,115,0,0,0,0,0
4382.87,2,4,84,0,0,0,0,0
4995.3,3,4,35,0,0,0,0,0
4208.36,1,3,116,0,0,0,0,0
5471.03,5,4,94,0,0,0,0,0
8635.0,1,6,6,0,0,0,0,0
8370.95,4,8,91,0,0,0,1,0
2395.29,1,8,13,0,0,0,0,0
16629.46,3,8,6,0,0,0,0,0
2046.69,3,3,44,0,0,0,0,0
5236.36,2,5,68,0,0,0,0,0
3946.1,1,5,53,0,0,0,1,0
2123.47,1,7,60,0,0,1,0,0
4628.11,5,7,12,0,0,0,0,0
2717.18,1,3,12,1,0,1,0,0
5209.95,1,2,8,1,0,0,1,0
6784.99,4,9,43,1,0,0,0,1
15955.25,2,2,85,0,0,0,1,0
6284.91,2,4,9,0,0,0,1,0
3013.99,5,1,52,0,0,0,0,0
3592.86,3,4,37,0,0,0,0,0
5497.14,1,4,51,0,0,0,0,0
5296.33,3,6,51,1,0,0,0,0
15798.52,5,5,113,0,0,0,0,1
15007.15,4,6,101,0,0,0,1,1
3688.04,1,3,23,1,0,0,0,0
3168.73,2,5,33,0,0,0,0,0
635.46,1,5,74,0,0,0,0,0
3168.03,3,4,98,0,0,1,0,0
2247.46,3,3,41,0,1,0,1,0
3700.19,1,4,103,0,0,0,0,0
6722.85,1,8,114,0,0,0,0,0
5663.25,2,8,77,0,0,1,1,0
4798.34,2,4,22,1,0,0,0,0
5765.61,1,5,34,0,0,0,0,0
4443.09,2,3,112,0,0,1,0,0
5753.8,1,6,101,0,0,0,0,0
370.61,2,5,38,0,0,0,0,0
3962.24,1,5,71,1,0,0,0,0
4497.69,3,8,74,0,0,0,0,0
3740.56,1,3,46,0,0,0,1,0
4128.39,2,4,4,0,0,0,0,0
8626.97,4,6,32,0,0,0,0,0
3045.79,2,4,82,0,0,0,0,0
28582.84,2,6,4,1,0,0,0,0
8523.97,3,6,118,0,0,0,1,0
4890.03,1,8,8,0,0,0,0,0
4165.83,1,6,7,0,1,1,0,1
4586.09,2,4,36,0,0,0,0,0
2363.16,1,3,76,0,0,0,1,0
4554.35,2,5,74,0,0,0,0,0
6142.25,1,2,107,0,1,1,0,1
7813.7,1,7,90,0,0,0,1,0
7814.62,1,4,70,0,0,0,0,0
3944.58,1,2,96,0,0,0,0,0
1583.09,5,7,73,0,0,0,0,0
2877.62,2,3,107,0,0,0,0,0
17849.92,2,6,114,0,0,1,0,0
10065.27,2,8,96,0,0,0,1,0
6605.75,1,4,23,0,0,0,0,0
2673.02,2,6,93,0,0,0,0,0
4929.12,4,4,82,0,0,0,0,0
1799.86,2,2,11,1,0,0,0,0
3160.39,1,6,98,0,0,0,0,0
4039.34,1,4,53,1,0,0,0,0
3680.07,1,6,66,0,0,0,0,0
10564.78,2,9,107,0,0,0,0,0
1579.75,3,2,83,0,0,0,1,0
2459.35,1,6,12,1,0,0,0,0
1636.39,4,4,64,1,0,0,0,0
1826.43,4,6,5,1,0,0,0,0
5427.56,3,6,89,0,0,0,0,0
1366.01,1,5,100,0,0,0,0,0
8983.05,4,5,52,1,0,0,1,0
4034.14,2,3,69,1,0,0,0,0
5192.81,5,7,85,0,0,0,0,0
6361.77,2,3,58,0,0,0,0,0
3472.63,2,6,72,1,0,0,0,0
11225.95,2,5,84,0,0,0,0,0
4207.09,3,3,6,0,0,0,0,0
7905.04,3,6,24,0,0,0,0,0
4191.06,2,5,118,0,0,0,0,0
6202.45,3,6,97,0,0,0,1,0
6147.07,2,5,79,0,0,0,0,0
6002.77,1,6,70,0,0,0,0,0
2254.21,2,8,42,0,0,0,0,0
6965.33,1,5,73,0,0,0,0,0
3807.9,1,6,46,1,0,1,0,0
8138.74,3,5,117,0,0,0,0,0
878.31,1,5,81,0,0,0,0,0
1522.19,1,2,5,0,0,0,0,0
6573.2,3,4,95,0,0,0,0,0
21814.76,2,2,8,0,0,0,0,0
9585.89,1,7,38,0,0,1,0,0
2847.05,2,4,89,0,0,0,0,0
1269.47,4,7,113,0,0,0,0,0
8903.05,3,4,44,1,0,0,0,0
4607.93,1,5,8,0,0,0,0,0
7883.78,5,6,76,0,0,0,0,0
5389.67,1,4,36,0,0,0,1,0
5032.71,1,3,86,1,0,0,0,0
52412.5,2,6,42,1,0,0,0,0
